이름,견종,세부견종,색상,출생연도,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소
단지,믹스,믹스,Unknown,2021.08,7.16,https://cafethumb.pstatic.net/MjAyMzA4MDlfMTEg/MDAxNjkxNTYwNjY3NzA0.YD29jcDUM44B7nRDUklRqdn0pQ_8vAoPwWUStf7A3N8g.3AgiesAF0PrthDbYEG8PazQSYoQ3Q61f52HFNehYfMIg.JPEG/P1010616.JPG?type=f200_200,Y,F,U,,서울특별시 마포구
반희,믹스,"말티즈, 푸들",Unknown,2022.07,7.16,https://cafethumb.pstatic.net/MjAyMzA3MjZfMjc5/MDAxNjkwMzM1MDExNzE5.kEOMnOPI2UzQPqngnaEPQUxotSGoY-pLmFTSDF2LFo8g.mxojWvEt0GeutYQb3ZXZET1UgtfzWY07kIGm0N9niPwg.JPEG/KakaoTalk_20230725_113658910_20.jpg?type=f200_200,Y,M,U,사람을 너무 좋아하는 왈가닥 개구장이 반희예요!  귀엽고 사랑스러운 반희는 유기당시 설사와 영양결핍으로 매우 마른 상태였습니다.  그래서인지 입양신청자도 없었다고 해요.  상태가 많이 안좋았지만 다행히 지금은 정상체중으로 건강하답니다~!  어린 강아지인 만큼 매우 많이 활발하고 전 가족으로부터 기본 훈련을 잘 받지는 못한 듯 보여요.  패드배변 훈련부터 기본 지시어 훈련 그리고 사회성 훈련을 시행하고 있습니다.  사람을 좋아하지만 안긴 경험이 적은 듯 안으면 매우 반항(?)하고 얼음 경직이 되어버려요.  입양 후 자주 안아주시고 스킨십 등을 통해 적응을 시켜주세요.  푸들과 말티즈 혼종인 만큼 털빠짐은 적으나 두 견종 모두 사람에게 의지하는 면이 많은  친화적인 친구들이예요.  그래서 분리불안도 많이 나타나는 견종인데요  우리 반희도 혼자 있으면 짖음이 다소 있습니다.  매우 활발하며 깨방정인 친구예요!  순한 친구라서 처음 반려견을 맞이하거나 어린 자녀(영유아제외)가 있는 가정.  또는 반려견이 있는 가정 등 어느가정이든 적합합니다. * 너무 어린 아이를 약간 무시하는 경향이 있으므로 입양후 기본 훈련을 통해 보완해주세요.  집에 오랫동안 거주하는 식구가 있는 가정이 적합하며 1인 가족의 경우 분리불안으로 인해  생길 민원 등을 충분히 고민하시고 적절히 대응할 수 있도록 준비하셔야 됩니다. (강아지 유치원 등)   유행에 따라 키워지고 유기되는 많은 아이들 중 반희 역시 요즘 유행하는 전형적인 유행견이었어요.   또다시 그런 경험을 갖지 않게 해주실  평생가족을 기다립니다.,서울특별시 마포구
미나리,믹스,믹스,"White, Beige",2021.06,7.16,https://cafethumb.pstatic.net/MjAyMzA2MjBfMTUz/MDAxNjg3MjI4ODc1Njc0.rDZ1dld6lKBLHmezIkmO4bWHuIR0QxnY6JHvKv4q-HQg.rpVL6i8nPUlpJiXTq7xldqgmKhtoACBJw8vsSMkH7JMg.JPEG/P1010072.JPG?type=f200_200,Y,F,U,사람을 좋아하고 흥도 많은 개구장이 강아지 미나리예요~  구조당시 회색빛의 흰둥이라서 요크셔 테리어가 섞인 친구인가? 했는데요~  깨끗하게 목욕을 하고 나니 ㅎㅎ  마치 화이트 테리어처럼 흰 와이어털에 연한 노랑빛의  털을 지닌 친구였어요 ^^  그리고 보스턴 테리어처럼 콩콩 뛰어 다닌답니다 :)  장난감도 좋아하고 맛있는 간식을 먹을 때는 누가 뺏어갈 까 방석 위로 쏙 올라가 먹는 귀여운 모습도 보여줘요~  순하고 공격성이 없는 친구라서 처음 반려견을 맞이하거나 어린 자녀의 가정 등 어느 가정과도 적합합니다. (털빠짐이 적습니다.)   다른 강아지 친구들과도 문제없이 잘 지내고 똑똑해서 가르쳐주면 곧잘 행하는 똑순이예요!  패드 배변 훈련중이예요.  똥그란 눈으로 간식을 쳐다보는 집중력은 최고! ^^  워낙 애교도 많고 친화력이 좋아서 바로 집에 적응할 것 같아요~~~  활발하고 에너제틱한 친구기때문에 충분히 산책과 내외부 활동을 통해서 스트레스 받지 않도록 해주세요.  살짝 식탐이 있어서 과체중되지 않도록 주의 관리 부탁드립니다 :)  부정교합이라 더욱 귀여운 외모를 지닌~  사랑스러운 애교쟁이 미나리의 평생 가족을 기다립니다.,서울특별시 마포구
말캉,믹스,믹스,Beige,2021.06,7.16,https://cafethumb.pstatic.net/MjAyMzA2MjBfMTA4/MDAxNjg3MjI2NDQyMjg5.dRog_KcTjT80hjZZ0mpHQHnlVXHaeoHhK54PNozGKfEg.J95GD9QLBJKCKYYiNNcwcNWY6sxbgIsK7E2234LB16Yg.JPEG/P1010307.JPG?type=f200_200,Y,F,U,몰캉과 함께 구조되어 시보호소에 입소했던 겁많은 작은 발바리 말캉입니다.  말캉 몰캉 둘 다 겁이 많고 소심하지만 친해지면 꼬리 뱅뱅하는 낯가림 있는 친구들이예요.  그래도 말캉이는 몰캉이보다 좀 더 친화성이 강해서 간식만 있다면 친해지는데 오래 걸리지 않아요^^  구조당시 삼안검 치료(체리아이)가 필요해 수술적 치료를 하였습니다.  당분간 안약을 넣고 관리해주셔야 돼요~(센터에서 집중관리중)  다른 강아지들보다는 자매인 몰캉이를 많이 의지해요.  그래서 외동도 좋지만 사회성 좋은 반려견이 있는 가정이라면 더욱 좋을 듯 합니다 ^^  중단모로 털빠짐은 어느정도 있을 거예요.  구조당시 영양상태가 좋지않아 푸석푸석했어요. 당분간 피모영양제 등 함께 관리해주시면   털빠짐도 줄고 매끄럽고 윤기나는 털을 보실 수 있습니다.  사람이 좋아서 꼬리 뱅뱅하는 귀여운 노랑 강아지 말캉!!  육포 등 향강한 간식을 더욱 좋아하는 편식이 있어요  :)  시간을 조금만 주고 기다려주시면 분명히 환하게 웃으며 꼬리펠러 뱅뱅하며 다가와  껌딱지되는 말캉이를 볼 수있어요.  패드배변 훈련중이며 외부산책을 전혀 못합니다. (겁도 많고 산책을 해 본 경험이 없어 보입니다. ㅠㅠ)  충분히 가족과 신뢰를 쌓은 후 산책을 시도하시면 좋겠습니다.  순하고 착한 친구라서 유치원이상의 자녀의 가정 또는 처음 반려견을 맞이하는 가정.  성격 좋은 반려견이 있는 가정 등 어느가정과도 적합합니다.  긴장하고 경계하면 다소 짖을 수 있습니다.  이것은 문제점이 아닙니다.  소음에 예민한 (방음이 잘 안되는 ) 환경의 가정인 경우 적합하지 않습니다.  세상이 두렵고 무서운 것으로 알고 있는 말캉이에게   세상은 재밌고 신나며 즐거운 곳이란 것을 알려주실 평생 가족을 기다립니다.,서울특별시 마포구
만금,믹스,슈나우저,Unknown,2021.06,7.16,https://cafethumb.pstatic.net/MjAyMzA2MTlfMjA0/MDAxNjg3MTYxODMwOTIz.omC-KCrjj6Wj5O6VMeDM-dhtYhwZVGu40hkQZ4v_hiEg.qkgZkDnkWjx7w_9aO5-XGSFQxvc8V3rdaPVnlPGGQPEg.JPEG/P1010037.JPG?type=f200_200,Y,F,U,사람을 좋아하는 깔끔쟁이 강아지 만금이예요~  착하고 순하고 기본 훈련도 되어있던 친구랍니다.  사람이 좋아서 손만 보면 뽀뽀하기 바빠요!  쓰담 쓰담 몇번이면 발라당~  워낙 순하고 낯가림이 없어 첫 만남에도 금새 친해질 수 있어요.  털빠짐이 적은 슈나우저 믹스 친구예요.  처음 반려견을 맞이하거나 어린 자녀가 있는 가정 등 어느가정과도 적합합니다.  다른 강아지와도 사이좋게 잘 지내고 (문제없이 지내요~)  패드배변은 훈련중입니다 ^^   똑똑해서 금방 배운대로 행하는 똑순이 강아지!   활발하고 애교 만점~!  집안에 활기를 불어 넣어줄 우리 만금이~~^^  안겨서 애교부리기도 하고 장난감 가지고 놀기도 하고!~  사랑스러운 만금이의 평생가족을 기다립니다.,서울특별시 마포구
망치,믹스,믹스,Beige,2021.06,7.16,https://cafethumb.pstatic.net/MjAyMzA2MTlfMTgx/MDAxNjg3MTU2MDU2MjQz.uJGaMxPfdoJme24_alUdMKtGUsLCjidjvJky41iMns8g.Qt1kyfPDYwAaGAr_5_GUDEGEhLKBVZ-KqnJLelgVkBsg.JPEG/P1010529.JPG?type=f200_200,Y,M,U,동그란 얼굴에 사람을 좋아해서 안김도 잘하는 해피 바이러스 망치예요!  망치는 마치 포메라니안 혼종처럼 털이 이중모로 빡빡하게 퐁퐁퐁 합니다!! (폼피츠 같아요 :)  그래서 엄청 털이 많이 빠져요~~  :)  하지만 심하게 엉켜있던 털을 한시간동안 빗질하는 동안 한번도 싫은 내색하지 않던 착한 아이입니다.  시보호소에서 구조당시 목줄에 철사가 감겨 있었다고 해요.  도망가지 못하도록 묶었을까요?   구조되지 않았다면 철사로 인해 옴싹달싹하지 못한채 굶어죽었을 불쌍한 망치.  커다란 두 눈에 방긋 방긋 웃어주지만 눈치도 많이 보는 발바리 친구예요.  외부에서 자란 듯 보이는 오염된 털과 지저분한 귀였어요. 하지만 실내에서 생활한 듯 보이기도 합니다.  다른 강아지들에게 왕하면서 으시대기도 하지만 곧 대면 대면~  다견 가정보다는 외동으로 입양가면 좋을 것 같아요. (사회성 좋은 반려견이 있다면 문제 없어요!~~^^)  사람을 더 좋아하는 폭실 폭실 강아지 입니다.  패드배변 훈련중이며 수컷 강아지다보니 마킹이 살짝 있어요~ (마킹도 패드에 하는 걸 보면 실내에서 자란 듯 보여요!)  귀엽게 안경쓰고 애교 폭발하는 발바리 망치!!!  영유아를 이상의 자녀가 있는 가정 또는 처음 반려견을 맞이하는 가정 등 어느 가정과도 적합해요!  노란 안경쓰고 뽀뽀를 열정적으로 하는 귀여운 망치~  짧고 똥똥한 몸매로 귀요미 극강이랍니다 ;)  활발하고 장난꾸러기인 망치의 평생가족을 기다립니다.,서울특별시 마포구
리라,믹스,믹스,"White, Black",2023.04,7.16,https://cafethumb.pstatic.net/MjAyMzA3MjZfMjc2/MDAxNjkwMzMxMzcxMDI4.WBnwsQuuOK7u9dT1WcaKziJAQBmgeX1Dx_35LyhlxFgg.vdL8zYl8Np2-BLh_hFN-z0QNLEvMNHUrBGFU4ND0_Wog.JPEG/KakaoTalk_20230725_114309133_19.jpg?type=f200_200,Y,F,N,경기-포천-2023-00189 믹스견 단지의 자견으로 센터에서 출생했습니다.  시보호소에서 안락사 명단에 있던 철장에서 자란 듯 보이는 단지를 구조했습니다.  사람을 매우 무서워하고 기본 훈련은 커녕 경계를 늦추지 않았던 친구였어요.  센터에 입소후 다른 강아지들처럼 건강검진과 일정기간 검역기간을 거쳐 중성화 수술을 위해   센터 내 동물병원으로 이동했습니다.  구조 당시 워낙 말라있어 검역기간동안 폭풍 흡입하는 식이는  크케 생각하지 않았어요.  많은 친구들이 영양상태가 좋지 않은 상태에서 입소했을 때 미친듯 밥을 먹거든요.  하지만 중성화 수술을 위해 초음파 검사를 했을 때   두둥!!!!  실처럼 약하게 태아가 있음을 알 수 있었습니다.  방사선 촬영에서는 보이지 않는 이제 형태를 갖춰가는 태아였어요.  그렇게 임부견이었던 단지는 센터 한켠에 최대한 안정을 취할 수 있도록 마련된 산실에서 해산을 준비했습니다.  센터 직원들은 맛있는 여러 음식과 소고기 등 최대한 풍부한 영양을 단지에게 제공하기 위해 사비를 털기까지 했어요.  하루 하루~   보올록해지는 단지의 배를 보며 언제 출산할 지   출산 후 많은 동물이 있는 센터가 예민한 단지에게 해가 되지 않을 지  건강한 아기 강아지들이 탄생할 수 있을 지 등등 걱정과 함께 단지 보살핌에 여력이 없었습니다.   해봄 축제가 있던 지난 4월 20일!  서울 식물원에서 진행된 해봄축제내 입양행사에 참여중인 틈 오전 10시가 넘어서   센터에서는 단지가 총 7마리의 아기 강아지들을 출산했어요.  그리고 안타깝게도 제일 작고 힘이 없던 강아지 한마리가 그다음날 강아지별로 떠났어요.  슬픔을 추슬리기도 버겁게 단지는 6마리나 되는 많은 강아지들에게 젖을 물리며  배변등을 햝으며 꼼꼼히 관리를 했습니다.  외부 작은 소리에도 예민하게 멍멍 짖으며 자기 자식들에게 위해가 되지 않을 지 경계를 늦추지 않으면서요.  젖도 잘 나오지 않아 더욱 더 식이에 신경을 쓰며 단지와 단지의 아기들을 돌보았습니다.  엉금 엉금 기어다니고 낑낑 소리를 내며 쪽쪽 엄마 젖을 빠는 작은 생명들!   눈을 뜨고나니 더욱 더 활발해지고 아기강아지답게 먹고 자고 싸기를 반복!! :)  며칠 뒤 20일이되면 태어난 지 2달이 되어 가는 단지의 아기들~  그중 막내(여섯째?) 리라를 소개합니다.  리라는 우리가 쉽게 접할 수 있는 그런 근사한 외모를 지녔어요^-^  까만 짜장 주딩이를 지닌 시고르자브르종!ㅎㅎㅎ  단지의 아기 강아지 중 제일 작고 밥도 적게 먹어서 언제나 센터 직원들에게 걱정을 안겨줬던 아이예요.  하지만 이제는 밥도 곧잘 먹고 작은 체구로 오종종~ 걸어다니며   신나게 오빠와 언니 틈 바구니를  휘졌고 다닌답니다 ♡  매끈 매끈한 단모로 사랑스러운 작은 똥강아지 리라!  유치가 나는 중이라서 잇몸이 근질 근질~   센터의 기물을 씹고 맛보고 쪽쪽대며 아주 난리예요~ ㅎㅎㅎㅎㅎ  밥도 잘 먹고 패드 배변도 어느정도 잘 가립니다.  부르는 소리에 쫄쫄쫄 다가오기도 하는 아기 강아지!  하얀 백지같은 어린 강아지입니다.  성견이 됐을 때 기본 10kg는 넘을 수도 있어요.  크기가 커질까봐 걱정이 되거나   키우면서 집안 물건들을 긁고 찢고 뜯고 하는게 싫어 가둬두실 분  기본 지시어 훈련부터 산책 훈련 사회화 훈련 등 훈련에 관심없으신 분  중성화 수술을 비동의 하시는 분  등  어린 강아지는 정말 정말 손이 많이 갑니다.  마치 1~2살 자녀를 다시 양육하는 심정으로 관리하셔야 돼요.  윗 사항들이 문제가 되거나 걱정이 크신 분들은 입양을 추천드리지 않아요.  10KG! 20KG! 되도 상관없이 많이 먹고 쑥쑥 자라나 건강하게 잘 지내길 바라는 가족.  집에 사회성이 좋은 강아지가 있는 반려 가족.  어린 강아지 특성상 손이 많이 가기 때문에 1인 가족보다는 여러 구성원이 있는 다인가족이 적합합니다.  처음 반려견을 맞이하거나 영유아 이상의 자녀가 있는 가정등도 적합해요!  작은 거인이 될 사랑스럽고 귀여운 우리 리라와 함께 힘찬 걸음을 함께 해주실 평생 가족을 기다립니다.,서울특별시 마포구
리솔,믹스,믹스,"White, Beige",2023.04,7.16,https://cafethumb.pstatic.net/MjAyMzA2MTVfMjI3/MDAxNjg2ODI3ODQyNzEw.VyBREjFzK1AlRRdNxbLnyH1pJqABobFLSCBfCjolq8kg.1Fmh4ZvdsdZ9bfkHBZZpQMqCdX9CM7FBGacgW62bjB4g.JPEG/P1010287.JPG?type=f200_200,Y,F,N,경기-포천-2023-00189 믹스견 단지의 자견으로 센터에서 출생했습니다.  시보호소에서 안락사 명단에 있던 철장에서 자란 듯 보이는 단지를 구조했습니다.  사람을 매우 무서워하고 기본 훈련은 커녕 경계를 늦추지 않았던 친구였어요.  센터에 입소후 다른 강아지들처럼 건강검진과 일정기간 검역기간을 거쳐 중성화 수술을 위해   센터 내 동물병원으로 이동했습니다.  구조 당시 워낙 말라있어 검역기간동안 폭풍 흡입하는 식이는  크케 생각하지 않았어요.  많은 친구들이 영양상태가 좋지 않은 상태에서 입소했을 때 미친듯 밥을 먹거든요.  하지만 중성화 수술을 위해 초음파 검사를 했을 때   두둥!!!!  실처럼 약하게 태아가 있음을 알 수 있었습니다.  방사선 촬영에서는 보이지 않는 이제 형태를 갖춰가는 태아였어요.  그렇게 임부견이었던 단지는 센터 한켠에 최대한 안정을 취할 수 있도록 마련된 산실에서 해산을 준비했습니다.  센터 직원들은 맛있는 여러 음식과 소고기 등 최대한 풍부한 영양을 단지에게 제공하기 위해 사비를 털기까지 했어요.  하루 하루~   보올록해지는 단지의 배를 보며 언제 출산할 지   출산 후 많은 동물이 있는 센터가 예민한 단지에게 해가 되지 않을 지  건강한 아기 강아지들이 탄생할 수 있을 지 등등 걱정과 함께 단지 보살핌에 여력이 없었습니다.   해봄 축제가 있던 지난 4월 20일!  서울 식물원에서 진행된 해봄축제내 입양행사에 참여중인 틈 오전 10시가 넘어서   센터에서는 단지가 총 7마리의 아기 강아지들을 출산했어요.  그리고 안타깝게도 제일 작고 힘이 없던 강아지 한마리가 그다음날 강아지별로 떠났어요.  슬픔을 추슬리기도 버겁게 단지는 6마리나 되는 많은 강아지들에게 젖을 물리며  배변등을 햝으며 꼼꼼히 관리를 했습니다.  외부 작은 소리에도 예민하게 멍멍 짖으며 자기 자식들에게 위해가 되지 않을 지 경계를 늦추지 않으면서요.  젖도 잘 나오지 않아 더욱 더 식이에 신경을 쓰며 단지와 단지의 아기들을 돌보았습니다.  엉금 엉금 기어다니고 낑낑 소리를 내며 쪽쪽 엄마 젖을 빠는 작은 생명들!   눈을 뜨고나니 더욱 더 활발해지고 아기강아지답게 먹고 자고 싸기를 반복!! :)  며칠 뒤 20일이되면 태어난 지 2달이 되어 가는 단지의 아기들~  그중 다섯째(?) 리솔을 소개합니다.  태어났을 때는 하얀 눈같던 우리 리솔~  자라면서 크림색(연노랑)털이 생겼어요^^  엄마 닮아서 그런가봐요~~  엄마 빼다 박은 이목구비!  복실 복실 흰둥이 리솔은 용기있게 먼가 나서서 행동하는 리더기질이 있는 듯 보여요.  사람 손을 햝짝 햝짝~ 간지러 간지러 ★  유치가 나는 중이라서 잇몸이 근질 근질~   센터의 기물을 씹고 맛보고 쪽쪽대며 아주 난리예요~ ㅎㅎㅎㅎㅎ  밥도 잘 먹고 패드 배변도 어느정도 잘 가립니다.  부르는 소리에 쫄쫄쫄 다가오기도 하는 아기 강아지!  하얀 백지같은 어린 강아지입니다.  성견이 됐을 때 기본 10kg는 넘을 수도 있어요.  크기가 커질까봐 걱정이 되거나   키우면서 집안 물건들을 긁고 찢고 뜯고 하는게 싫어 가둬두실 분  기본 지시어 훈련부터 산책 훈련 사회화 훈련 등 훈련에 관심없으신 분  중성화 수술을 비동의 하시는 분  등  어린 강아지는 정말 정말 손이 많이 갑니다.  마치 1~2살 자녀를 다시 양육하는 심정으로 관리하셔야 돼요.  윗 사항들이 문제가 되거나 걱정이 크신 분들은 입양을 추천드리지 않아요.  10KG! 20KG! 되도 상관없이 많이 먹고 쑥쑥 자라나 건강하게 잘 지내길 바라는 가족.  집에 사회성이 좋은 강아지가 있는 반려 가족.  어린 강아지 특성상 손이 많이 가기 때문에 1인 가족보다는 여러 구성원이 있는 다인가족이 적합합니다.  처음 반려견을 맞이하거나 영유아 이상의 자녀가 있는 가정등도 적합해요!  착하고 순둥한 흰둥이 강아지 리솔에게 알록 달록 다채로운 세상 물들여주실 평생가족을 기다립니다.,서울특별시
리파,믹스,믹스,White,2023.04,7.16,https://cafethumb.pstatic.net/MjAyMzA2MTVfMSAg/MDAxNjg2ODIxMzQwNjI4.RnQAfpWAC8RjcbzVapjP4blKA9-A60Hkq1Wh42PCbWgg.OYQRgHCVHvdmPIJdaSHYWdVAJajzOLnsaS6M2RUXgpYg.JPEG/P1010159.JPG?type=f200_200,Y,M,N,경기-포천-2023-00189 믹스견 단지의 자견으로 센터에서 출생했습니다.  시보호소에서 안락사 명단에 있던 철장에서 자란 듯 보이는 단지를 구조했습니다.  사람을 매우 무서워하고 기본 훈련은 커녕 경계를 늦추지 않았던 친구였어요.  센터에 입소후 다른 강아지들처럼 건강검진과 일정기간 검역기간을 거쳐 중성화 수술을 위해   센터 내 동물병원으로 이동했습니다.  구조 당시 워낙 말라있어 검역기간동안 폭풍 흡입하는 식이는  크케 생각하지 않았어요.  많은 친구들이 영양상태가 좋지 않은 상태에서 입소했을 때 미친듯 밥을 먹거든요.  하지만 중성화 수술을 위해 초음파 검사를 했을 때   두둥!!!!  실처럼 약하게 태아가 있음을 알 수 있었습니다.  방사선 촬영에서는 보이지 않는 이제 형태를 갖춰가는 태아였어요.  그렇게 임부견이었던 단지는 센터 한켠에 최대한 안정을 취할 수 있도록 마련된 산실에서 해산을 준비했습니다.  센터 직원들은 맛있는 여러 음식과 소고기 등 최대한 풍부한 영양을 단지에게 제공하기 위해 사비를 털기까지 했어요.  하루 하루~   보올록해지는 단지의 배를 보며 언제 출산할 지   출산 후 많은 동물이 있는 센터가 예민한 단지에게 해가 되지 않을 지  건강한 아기 강아지들이 탄생할 수 있을 지 등등 걱정과 함께 단지 보살핌에 여력이 없었습니다.   해봄 축제가 있던 지난 4월 20일!  서울 식물원에서 진행된 해봄축제내 입양행사에 참여중인 틈 오전 10시가 넘어서   센터에서는 단지가 총 7마리의 아기 강아지들을 출산했어요.  그리고 안타깝게도 제일 작고 힘이 없던 강아지 한마리가 그다음날 강아지별로 떠났어요.  슬픔을 추슬리기도 버겁게 단지는 6마리나 되는 많은 강아지들에게 젖을 물리며  배변 등을 햝으며 꼼꼼히 관리를 했습니다.  외부 작은 소리에도 예민하게 멍멍 짖으며 자기 자식들에게 위해가 되지 않을 지 경계를 늦추지 않으면서요.  젖도 잘 나오지 않아 더욱 더 식이에 신경을 쓰며 단지와 단지의 아기들을 돌보았습니다.  엉금 엉금 기어다니고 낑낑 소리를 내며 쪽쪽 엄마 젖을 빠는 작은 생명들!   눈을 뜨고나니 더욱 더 활발해지고 아기강아지답게 먹고 자고 싸기를 반복!! :)  며칠 뒤 20일이되면 태어난 지 2달이 되어 가는 단지의 아기들~  그중 첫째같은 넷째(?) 리파를 소개합니다.  듬직(?)한 풍채를 자랑하는 단지 아기들 중 제일 크고 잘 먹는 아이예요.  털도 삽살개처럼 풍성한데 와이어 타입이라 미용은 동그랗게 하니 너무 너무 귀여워요!  덩치에 비해 겁도 살짝 있는 우리 아기 강아지 리파!  단지 베베들중 제일 인기가 많아요~:)   유치가 나는 중이라서 잇몸이 근질 근질~   센터의 기물을 씹고 맛보고 쪽쪽대며 아주 난리예요~ ㅎㅎㅎㅎㅎ  밥도 잘 먹고 패드 배변도 어느정도 잘 가립니다.  부르는 소리에 쫄쫄쫄 다가오기도 하는 아기 강아지!  하얀 백지같은 어린 강아지입니다.  성견이 됐을 때 기본 10kg는 넘을 수도 있어요.  크기가 커질까봐 걱정이 되거나   키우면서 집안 물건들을 긁고 찢고 뜯고 하는게 싫어 가둬두실 분  기본 지시어 훈련부터 산책 훈련 사회화 훈련 등 훈련에 관심없으신 분  중성화 수술을 비동의 하시는 분  등  어린 강아지는 정말 정말 손이 많이 갑니다.  마치 1~2살 자녀를 다시 양육하는 심정으로 관리하셔야 돼요.  윗 사항들이 문제가 되거나 걱정이 크신 분들은 입양을 추천드리지 않아요.  10KG! 20KG! 되도 상관없이 많이 먹고 쑥쑥 자라나 건강하게 잘 지내길 바라는 가족.  집에 사회성이 좋은 강아지가 있는 반려 가족.  어린 강아지 특성상 손이 많이 가기 때문에 1인 가족보다는 여러 구성원이 있는 다인가족이 적합합니다.  처음 반려견을 맞이하거나 영유아 이상의 자녀가 있는 가정등도 적합해요!  외모가 달라져도 크기가 예상보다 커도 처음처럼 한결같이 사랑과 책임으로 평생을 가족이 되어주실 분을 기다립니다.,서울특별시 마포구
래미,믹스,믹스,"White, Brown",2023.04,7.16,https://cafethumb.pstatic.net/MjAyMzA2MTVfMjQx/MDAxNjg2ODIyNDYyNDc0.uQXZGxU-tEFEArpHfSzGG1uhu_f74gTU84B7_T0-SP0g.xOYPZ7HfyPBS4tLgIdNQhC-EQiWNyNj5-HgQpg3G_aog.JPEG/P1010248.JPG?type=f200_200,Y,F,N,경기-포천-2023-00189 믹스견 단지의 자견으로 센터에서 출생했습니다.  시보호소에서 안락사 명단에 있던 철장에서 자란 듯 보이는 단지를 구조했습니다.  사람을 매우 무서워하고 기본 훈련은 커녕 경계를 늦추지 않았던 친구였어요.  센터에 입소후 다른 강아지들처럼 건강검진과 일정기간 검역기간을 거쳐 중성화 수술을 위해   센터 내 동물병원으로 이동했습니다.  구조 당시 워낙 말라있어 검역기간동안 폭풍 흡입하는 식이는  크케 생각하지 않았어요.  많은 친구들이 영양상태가 좋지 않은 상태에서 입소했을 때 미친듯 밥을 먹거든요.  하지만 중성화 수술을 위해 초음파 검사를 했을 때   두둥!!!!  실처럼 약하게 태아가 있음을 알 수 있었습니다.  방사선 촬영에서는 보이지 않는 이제 형태를 갖춰가는 태아였어요.  그렇게 임부견이었던 단지는 센터 한켠에 최대한 안정을 취할 수 있도록 마련된 산실에서 해산을 준비했습니다.  센터 직원들은 맛있는 여러 음식과 소고기 등 최대한 풍부한 영양을 단지에게 제공하기 위해 사비를 털기까지 했어요.  하루 하루~   보올록해지는 단지의 배를 보며 언제 출산할 지   출산 후 많은 동물이 있는 센터가 예민한 단지에게 해가 되지 않을 지  건강한 아기 강아지들이 탄생할 수 있을 지 등등 걱정과 함께 단지 보살핌에 여력이 없었습니다.   해봄 축제가 있던 지난 4월 20일!  서울 식물원에서 진행된 해봄축제내 입양행사에 참여중인 틈 오전 10시가 넘어서 센터에서는  단지가 총 7마리의 아기 강아지들을 출산했어요.  그리고 안타깝게도 제일 작고 힘이 없던 강아지 한마리가 그다음날 강아지별로 떠났어요.  슬픔을 추슬리기도 버겁게 단지는 6마리나 되는 많은 강아지들에게 젖을 물리며  배변등을 햝으며 꼼꼼히 관리를 했습니다.  외부 작은 소리에도 예민하게 멍멍 짖으며 자기 자식들에게 위해가 되지 않을 지 경계를 늦추지 않으면서요.  젖도 잘 나오지 않아 더욱 더 식이에 신경을 쓰며 단지와 단지의 아기들을 돌보았습니다.  엉금 엉금 기어다니고 낑낑 소리를 내며 쪽쪽 엄마 젖을 빠는 작은 생명들!   눈을 뜨고나니 더욱 더 활발해지고 아기강아지답게 먹고 자고 싸기를 반복!! :)  며칠 뒤 20일이되면 태어난 지 2달이 되어 가는 단지의 아기들~  그중 셋째(?) 래미를 소개합니다. 빼박 아빠를 닮은 듯! 단모종으로 보들 보들~  갈색의 털과 짧고 두툼한 다리는 엄마를 닮았어요!  용맹하고 활발하며 애교 많은 래미~  오종 오종~ 뒤뚱 뒤뚱 걸으며 앙앙 대는 작은 누런 공룡 :)   유치가 나는 중이라서 잇몸이 근질 근질~   센터의 기물을 씹고 맛보고 쪽쪽대며 아주 난리예요~ ㅎㅎㅎㅎㅎ  밥도 잘 먹고 패드 배변도 어느정도 잘 가립니다.  부르는 소리에 쫄쫄쫄 다가오기도 하는 아기 강아지!  하얀 백지같은 어린 강아지입니다.  성견이 됐을 때 기본 10kg는 넘을 수도 있어요.  크기가 커질까봐 걱정이 되거나   키우면서 집안 물건들을 긁고 찢고 뜯고 하는게 싫어 가둬두실 분  기본 지시어 훈련부터 산책 훈련 사회화 훈련 등 훈련에 관심없으신 분  중성화 수술을 비동의 하시는 분  등  어린 강아지는 정말 정말 손이 많이 갑니다.  마치 1~2살 자녀를 다시 양육하는 심정으로 관리하셔야 돼요.  윗 사항들이 문제가 되거나 걱정이 크신 분들은 입양을 추천드리지 않아요.  10KG! 20KG! 되도 상관없이 많이 먹고 쑥쑥 자라나 건강하게 잘 지내길 바라는 가족.  집에 사회성이 좋은 강아지가 있는 반려 가족.  어린 강아지 특성상 손이 많이 가기 때문에 1인 가족보다는 여러 구성원이 있는 다인가족이 적합합니다.  처음 반려견을 맞이하거나 영유아 이상의 자녀가 있는 가정등도 적합해요!  험한 세상에 다리가 되어 신나고 즐겁게 생활할 수 있도록 사랑으로 보듬어주실  평생 가족을 기다립니다.,서울특별시 마포구
